aX,aY,aZ,gX,gY,gZ
-0.388,0.297,2.508,24.353,59.631,60.974
-0.282,0.496,2.99,55.786,71.289,65.918
-0.108,0.557,3.442,97.9,67.505,68.115
0.096,0.541,3.87,143.86,34.363,68.604
0.257,0.552,4,199.524,-23.193,60.852
0.251,0.693,4,264.832,-89.111,44.128
0.166,0.786,3.781,340.088,-155.945,20.63
0.074,0.925,3.398,405.151,-207.52,8.728
0.026,1.074,2.91,464.111,-235.046,8.24
0.047,1.113,2.339,516.907,-237.854,11.414
0.137,1.155,1.751,556.03,-223.511,19.836
0.24,1.182,1.217,579.224,-196.899,27.71
0.293,1.164,0.803,588.806,-158.752,31.677
0.313,1.154,0.505,587.708,-113.77,36.56
0.33,1.107,0.31,586.121,-64.819,42.114
0.359,1.078,0.156,588.989,-16.968,42.48
0.42,1.067,0.014,596.985,14.648,34.058
0.42,1.058,-0.118,606.14,19.836,15.869
0.338,1.113,-0.274,607.239,4.883,-3.418
0.252,1.12,-0.44,599.304,-22.644,-16.907
0.152,1.237,-0.632,591.37,-57.678,-26.306
0,1.359,-0.929,590.332,-85.449,-35.645
-0.187,1.524,-1.324,589.905,-94.971,-38.696
-0.404,1.751,-1.79,586.06,-82.764,-32.532
-0.536,2.026,-2.479,582.214,-55.908,-21.851
-0.542,2.017,-3.282,560.669,-42.175,-11.475
-0.501,1.867,-3.961,491.394,-49.683,-1.526
-0.45,1.734,-4,375.305,-64.941,10.681
-0.337,1.552,-4,241.394,-75.195,26.794
-0.163,1.343,-3.935,117.31,-69.824,46.753
0.044,1.032,-3.393,16.541,-48.523,65.186
0.25,0.668,-2.744,-60.608,-18.982,82.397
0.457,0.289,-2.081,-116.333,12.878,97.778
0.668,-0.082,-1.459,-151.123,47.18,110.291
0.793,-0.382,-0.934,-168.701,79.346,114.38
0.758,-0.618,-0.551,-170.532,100.891,104.431
0.625,-0.774,-0.356,-162.537,109.802,85.51
0.44,-0.836,-0.336,-151.306,106.812,65.918
0.229,-0.864,-0.428,-141.418,93.811,47.241
-0.003,-0.819,-0.534,-136.536,74.463,29.846
-0.211,-0.696,-0.695,-132.751,51.514,16.296
-0.383,-0.65,-0.903,-127.808,32.41,7.507
-0.498,-0.578,-1.075,-130.615,18.677,5.676
-0.55,-0.529,-1.175,-142.395,10.986,11.169
-0.554,-0.494,-1.21,-157.532,10.315,19.592
-0.516,-0.457,-1.177,-172.607,15.381,29.785
-0.443,-0.444,-1.127,-184.143,22.888,39.368
-0.348,-0.444,-1.087,-192.81,29.785,45.166
-0.255,-0.442,-1.037,-202.026,31.128,45.837
-0.182,-0.436,-0.992,-212.708,28.564,41.26
-0.141,-0.449,-0.978,-224.304,24.353,33.936
-0.122,-0.458,-0.979,-241.394,18.433,28.137
-0.135,-0.458,-0.973,-268.066,11.475,25.208
-0.157,-0.449,-0.912,-301.819,6.287,26.306
-0.163,-0.413,-0.795,-337.769,8.789,30.823
-0.163,-0.331,-0.604,-368.042,21.606,38.269
-0.111,-0.293,-0.291,-382.69,37.964,49.5
-0.015,-0.317,-0.035,-374.39,54.443,59.998
0.094,-0.377,0.135,-349.792,64.026,60.608
0.197,-0.445,0.2,-323.181,59.265,49.805
0.232,-0.489,0.236,-305.176,39.368,31.982
0.196,-0.487,0.254,-298.279,17.7,12.634
0.121,-0.479,0.251,-300.293,3.235,-0.488
0.056,-0.468,0.239,-311.584,-2.563,-2.625
-0.009,-0.425,0.251,-332.397,-0.427,2.319
-0.038,-0.37,0.308,-358.276,12.146,10.071
-0.035,-0.287,0.432,-381.348,37.048,18.616
-0.009,-0.202,0.677,-391.235,66.101,26.794
0.04,-0.166,0.914,-377.686,86.548,35.034
0.114,-0.189,0.992,-344.177,93.994,39.185
0.153,-0.251,1.02,-309.875,78.308,34.973
0.15,-0.274,1.087,-285.217,42.358,24.719
0.101,-0.245,1.105,-263.245,4.456,12.39
0.015,-0.22,1.068,-239.685,-20.142,2.014
-0.047,-0.185,0.991,-221.802,-31.677,-1.404
-0.108,-0.13,0.946,-217.773,-31.799,2.319
-0.156,-0.07,0.949,-226.135,-19.836,8.301
-0.159,-0.036,1.044,-239.99,4.578,14.465
-0.135,-0.022,1.234,-246.521,34.363,21.667
-0.078,-0.034,1.411,-234.07,62.134,26.794
-0.005,-0.075,1.493,-203.247,79.773,26.306
0.047,-0.124,1.476,-164.673,77.393,19.653
0.071,-0.129,1.412,-131.775,52.856,10.742
0.091,-0.121,1.361,-109.924,17.212,2.991
0.08,-0.124,1.289,-92.59,-16.174,-2.014
0.028,-0.091,1.198,-79.834,-40.161,-4.822
-0.001,-0.062,1.142,-77.942,-49.255,-4.822
-0.026,-0.058,1.145,-84.412,-41.748,-2.075
-0.028,-0.107,1.208,-91.125,-23.376,1.831
-0.045,-0.216,1.324,-95.398,1.587,2.808
-0.03,-0.359,1.549,-106.079,40.405,-0.549
0.075,-0.235,1.715,-121.216,97.9,-2.991
0.075,-0.178,1.749,-99.182,116.638,-6.042
-0.01,-0.291,1.719,-61.096,87.891,-16.418
-0.051,-0.26,1.642,-38.696,43.579,-23.987
-0.083,-0.196,1.504,-21.179,-9.277,-24.109
-0.13,-0.21,1.309,-1.465,-61.951,-22.217
-0.171,-0.226,1.117,9.399,-102.966,-17.09
-0.191,-0.235,0.989,6.592,-125.732,-8.789
-0.189,-0.238,0.924,-4.578,-122.192,0.122
-0.175,-0.223,0.895,-16.174,-92.407,6.897
-0.148,-0.216,0.885,-21.912,-49.805,8.301
-0.105,-0.215,0.892,-22.156,-10.498,7.69
-0.066,-0.214,0.906,-19.958,17.151,6.836
-0.042,-0.218,0.921,-15.259,28.564,3.906
-0.029,-0.236,0.946,-9.949,28.076,-1.343
-0.028,-0.239,0.963,-6.47,21.301,-4.517
-0.041,-0.232,0.974,-5.493,11.475,-4.578
-0.074,-0.222,0.97,-5.859,1.221,-4.089
-0.1,-0.226,0.97,-8.301,-5.737,-3.235
-0.117,-0.236,0.978,-12.024,-7.69,-0.793
-0.126,-0.235,0.987,-15.869,-4.578,1.587
-0.127,-0.224,0.996,-18.005,1.587,3.418
-0.119,-0.208,1.001,-17.395,7.996,4.456
-0.104,-0.201,1.009,-14.648,12.451,4.578
-0.085,-0.206,1.014,-10.742,15.869,3.967
-0.06,-0.211,1.016,-7.263,16.479,2.808
-0.039,-0.218,1.014,-5.127,13.611,2.38
-0.028,-0.223,1.004,-3.662,6.592,2.014
0.31,0.336,2.334,223.633,81.848,-46.753
0.42,0.413,2.511,263.977,102.478,-60.974
0.55,0.476,2.54,324.28,124.023,-79.285
0.675,0.548,2.4,397.034,130.798,-102.417
0.749,0.581,2.146,471.863,108.276,-132.141
0.776,0.571,1.859,537.598,54.565,-164.307
0.789,0.619,1.537,586.06,-12.39,-193.42
0.762,0.665,1.188,620.911,-80.627,-222.534
0.703,0.734,0.889,641.052,-144.409,-249.756
0.596,0.842,0.576,650.818,-195.984,-271.729
0.473,0.925,0.322,654.358,-237.61,-286.011
0.383,1.036,0.093,650.146,-268.616,-288.696
0.274,1.092,-0.137,639.648,-288.33,-282.898
0.184,1.171,-0.371,632.08,-298.828,-269.775
0.091,1.34,-0.712,628.601,-291.992,-255.676
-0.029,1.411,-1.184,616.882,-272.4,-241.028
-0.12,1.303,-1.673,581.97,-249.39,-215.515
-0.192,1.194,-2.07,526.855,-222.778,-187.134
-0.288,1.102,-2.343,458.069,-181.152,-160.156
-0.381,0.968,-2.456,385.071,-131.958,-130.005
-0.366,1.021,-2.368,314.819,-90.698,-93.018
-0.295,1.013,-2.274,253.052,-53.955,-54.199
-0.242,0.912,-2.26,214.355,-22.827,-25.635
-0.175,0.892,-2.323,180.969,-5.92,-7.019
-0.175,0.798,-2.462,145.874,-2.625,-0.122
-0.211,0.649,-2.558,101.99,-7.385,-0.305
-0.251,0.536,-2.554,45.654,-11.597,1.099
-0.288,0.44,-2.469,-13.245,-12.512,6.836
