aX,aY,aZ,gX,gY,gZ
-1.332,1.457,-0.502,-137.085,221.191,168.335
-1.289,1.912,-0.747,-47.241,211.426,224.182
-1.241,2.347,-1.032,53.833,169.312,272.4
-1.131,2.806,-1.325,143.799,111.877,319.031
-0.872,3.2,-1.511,214.722,55.664,368.347
-0.564,3.506,-1.585,249.084,-8.484,401.978
-0.205,3.627,-1.596,225.403,-68.665,410.156
0.082,3.569,-1.544,161.133,-88.867,373.108
0.338,3.377,-1.355,72.144,-57.312,284.241
0.539,3.076,-1.062,-16.113,14.648,155.884
0.474,2.751,-0.795,-83.008,84.9,4.944
0.118,2.414,-0.672,-121.46,133.606,-142.334
-0.307,2.114,-0.598,-144.165,166.504,-259.338
-0.638,1.888,-0.533,-158.997,184.326,-329.407
-0.831,1.68,-0.449,-169.617,172.058,-350.098
-0.899,1.51,-0.343,-174.744,131.042,-336.792
-0.865,1.405,-0.218,-175.903,77.759,-307.861
-0.722,1.356,-0.09,-171.997,33.386,-276.733
-0.53,1.337,0.017,-164.978,9.583,-257.263
-0.352,1.336,0.089,-158.936,4.395,-255.798
-0.169,1.332,0.15,-154.48,11.78,-271.057
-0.078,1.292,0.166,-148.926,27.283,-301.941
-0.098,1.245,0.177,-145.752,48.645,-340.454
-0.11,1.197,0.235,-149.78,77.637,-370.911
-0.105,1.135,0.311,-155.762,101.929,-384.277
-0.036,1.016,0.389,-157.532,108.093,-381.47
0.061,0.908,0.45,-146.545,102.112,-369.019
0.221,0.809,0.495,-126.099,99.609,-356.567
0.397,0.746,0.505,-100.586,103.76,-351.501
0.553,0.705,0.472,-71.167,114.99,-360.718
0.668,0.662,0.442,-44.189,135.559,-388.306
0.727,0.606,0.387,-20.569,168.335,-431.702
0.753,0.531,0.315,-3.113,209.229,-483.521
0.74,0.442,0.235,5.92,248.352,-539.612
0.604,0.331,0.173,4.578,281.067,-598.694
0.357,0.207,0.198,-6.409,309.631,-650.391
0.068,0.038,0.26,-16.785,330.811,-675.964
-0.147,-0.156,0.412,-17.395,339.294,-664.185
-0.3,-0.371,0.557,8.301,333.496,-617.615
-0.284,-0.604,0.481,73.486,314.392,-549.927
-0.177,-0.753,0.23,151.794,279.541,-486.084
-0.098,-0.853,-0.075,203.491,241.272,-440.063
-0.093,-0.939,-0.305,212.402,216.187,-406.677
-0.115,-1.046,-0.404,186.096,207.092,-376.648
-0.116,-1.167,-0.415,147.095,211.792,-339.355
-0.09,-1.215,-0.38,114.502,220.337,-294.373
-0.007,-1.193,-0.374,97.534,224.426,-248.901
0.082,-1.168,-0.409,92.834,226.135,-210.999
0.125,-1.135,-0.465,92.224,227.905,-182.678
0.139,-1.095,-0.564,97.046,228.516,-156.372
0.161,-1.055,-0.721,103.821,226.929,-126.221
0.197,-1.004,-0.896,103.21,228.882,-95.398
0.228,-0.941,-1.03,90.515,238.892,-70.007
0.263,-0.875,-1.098,72.144,249.756,-50.903
0.279,-0.816,-1.141,58.044,254.639,-39.429
0.277,-0.758,-1.188,51.636,248.718,-34.546
0.245,-0.704,-1.254,49.927,233.704,-31.128
0.236,-0.682,-1.321,50.842,213.44,-26.001
0.225,-0.648,-1.369,47.485,191.223,-19.165
0.224,-0.608,-1.383,40.894,169.25,-12.207
0.232,-0.562,-1.368,31.799,146.851,-5.798
0.251,-0.525,-1.337,24.475,125.916,-1.221
0.263,-0.482,-1.3,19.165,106.934,1.282
0.269,-0.462,-1.263,15.442,90.088,2.319
0.276,-0.436,-1.234,12.146,74.646,1.16
0.281,-0.41,-1.199,10.437,60.974,-0.732
0.269,-0.404,-1.169,9.155,49.011,-3.174
0.253,-0.405,-1.142,8.545,37.476,-5.737
0.228,-0.409,-1.125,7.202,28.442,-8.362
0.207,-0.408,-1.11,4.944,21.912,-10.01
0.194,-0.394,-1.086,2.075,17.334,-11.108
0.175,-0.397,-1.064,-0.244,14.221,-11.963
0.144,-0.394,-1.05,-0.488,11.047,-12.207
0.123,-0.397,-1.052,0.122,6.958,-10.925
0.113,-0.382,-1.052,0.061,4.211,-8.118
0.1,-0.377,-1.043,-1.587,3.113,-6.714
0.076,-0.376,-1.032,-3.113,2.563,-7.08
0.065,-0.37,-1.017,-4.028,1.465,-6.531
0.059,-0.37,-1.014,-3.662,-0.183,-5.676
0.054,-0.37,-1.015,-2.686,-1.831,-5.493
0.052,-0.371,-1.005,-2.747,-3.845,-4.944
0.05,-0.371,-0.993,-3.418,-5.005,-4.761
0.048,-0.371,-0.986,-4.7,-5.432,-4.578
0.045,-0.369,-0.98,-5.005,-5.92,-3.357
0.047,-0.368,-0.971,-4.883,-6.226,-1.099
0.054,-0.361,-0.965,-5.188,-5.615,1.038
0.065,-0.349,-0.955,-5.249,-4.578,2.747
0.074,-0.339,-0.942,-4.272,-3.357,3.418
0.075,-0.333,-0.935,-2.563,-2.38,2.869
0.076,-0.332,-0.936,-0.366,-1.282,1.953
0.073,-0.333,-0.943,1.648,-0.305,1.099
0.071,-0.333,-0.954,2.747,0.916,0.732
0.067,-0.325,-0.961,2.93,1.709,0.549
0.068,-0.322,-0.969,2.869,2.258,0.122
0.066,-0.324,-0.976,3.113,2.319,-0.671
0.062,-0.323,-0.984,3.967,1.221,-1.831
0.053,-0.325,-0.995,3.906,0.305,-2.808
0.044,-0.328,-1.001,3.662,0.244,-3.052
0.044,-0.33,-0.998,2.197,0.427,-2.869
0.044,-0.331,-0.991,1.648,0.977,-2.625
0.042,-0.332,-0.989,2.075,0.732,-2.93
0.043,-0.33,-0.99,2.563,0.732,-3.113
0.046,-0.333,-0.989,2.869,0.977,-3.357
0.045,-0.337,-0.987,2.563,1.648,-3.784
0.042,-0.345,-0.987,2.502,2.502,-4.089
0.044,-0.35,-0.989,2.075,3.479,-3.784
0.047,-0.349,-0.981,1.099,4.211,-3.296
0.049,-0.346,-0.972,0.793,5.066,-2.869
0.055,-0.349,-0.972,1.404,5.554,-2.563
0.057,-0.351,-0.976,2.441,5.981,-2.38
0.06,-0.352,-0.98,2.93,6.104,-2.38
0.061,-0.346,-0.984,3.601,6.287,-2.197
0.064,-0.349,-0.988,3.662,6.165,-2.075
0.066,-0.353,-0.993,3.479,6.165,-1.709
0.067,-0.35,-0.995,3.235,6.104,-0.793
0.07,-0.34,-0.993,2.808,5.554,-0.122
0.076,-0.337,-0.994,3.662,4.639,-0.061
0.077,-0.337,-1.004,4.7,3.967,-0.732
0.079,-0.339,-1.01,4.761,3.418,-0.916
0.299,-0.821,-1.567,-3.174,-337.402,164.49
0.35,-0.812,-1.556,-16.357,-382.141,197.388
0.425,-0.796,-1.507,-34.058,-422.607,233.154
0.524,-0.768,-1.407,-53.833,-460.327,270.081
0.608,-0.679,-1.281,-71.777,-493.774,303.04
0.679,-0.594,-1.126,-90.088,-525.269,326.05
0.693,-0.537,-0.914,-106.567,-554.321,341.858
0.646,-0.472,-0.671,-114.197,-581.116,354.797
0.558,-0.445,-0.411,-113.159,-608.398,369.751
0.472,-0.437,-0.12,-106.201,-635.437,390.93
0.34,-0.463,0.263,-94.604,-657.288,415.588
0.245,-0.546,0.623,-68.848,-664.917,440.186
0.244,-0.653,0.798,-26.306,-643.799,460.083
0.351,-0.773,0.837,2.747,-594.177,464.783
0.428,-0.845,0.857,3.174,-530.029,451.355
0.473,-0.864,0.851,-14.282,-461.792,426.025
0.474,-0.862,0.858,-46.753,-397.217,400.94
